ean,product_id,manufacturer,article_type,provider,tyre_width,tyre_aspect_ratio,tyre_construction,tyre_diameter,tyre_load_index,tyre_speed_index,tyre_tread,tyre_tt_tl,rim_width,rim_diameter,rim_offset,rim_color,rim_load_index,rim_speed_index
4024063001879,250002185,BARUM,Reifen,provider 16,195,50,R,15,,,BRAVURIS 5 HM,,,,,,,
4024063001909,250002192,BARUM,Reifen,provider 16,195,65,R,15,,,BRAVURIS 5 HM,,,,,,,
4024063002104,250002193,BARUM,Reifen,provider 16,195,65,R,15,,,BRAVURIS 5 HM XL,,,,,,,
4024063002289,250002238,BARUM,Reifen,provider 16,235,40,R,19,,,BRAVURIS 5 HM XLFR,,,,,,,
4024063002364,250002266,BARUM,Reifen,provider 16,225,70,R,15C,110,,VANIS ALLSEASON 3PMSF,,,,,,,
4024063002371,250002258,BARUM,Reifen,provider 16,195,75,R,16C,105,,VANIS ALLSEASON 3PMSF,,,,,,,
4024063002395,250002257,BARUM,Reifen,provider 16,195,65,R,16C,102,,VANIS ALLSEASON 3PMSF (100T),,,,,,,
4024063002647,250002274,BARUM,Reifen,provider 16,225,55,R,16,,,BRAVURIS 5 HM,,,,,,,
4024063003095,250002308,BARUM,Reifen,provider 16,245,40,R,20,,,BRAVURIS 5 HM XLFR,,,,,,,
4024063003200,250002309,BARUM,Reifen,provider 16,245,45,R,20,,,BRAVURIS 5 HM XLFR,,,,,,,
4024063003781,250002393,BARUM,Reifen,provider 16,235,60,R,18,,,BRAVURIS 5 HM FR,,,,,,,
4024063006645,250002468,BARUM,Reifen,provider 16,195,65,R,15,,,POLARIS 6 XL 3PMSF,,,,,,,
4024063006768,250002483,BARUM,Reifen,provider 16,215,55,R,18,,,POLARIS 6 EVC XLFR 3PMSF,,,,,,,
4024063006775,250002486,BARUM,Reifen,provider 16,225,45,R,18,,,POLARIS 6 EVC XLFR 3PMSF,,,,,,,
4024063007239,250002609,BARUM,Reifen,provider 16,235,45,R,18,,,BRAVURIS 6 EVC XLFR,,,,,,,
4024063007260,250002618,BARUM,Reifen,provider 16,235,55,R,18,,,BRAVURIS 6 EVC FR,,,,,,,
