ean,product_id,manufacturer,article_type,source_file,tyre_width,tyre_aspect_ratio,tyre_construction,tyre_diameter,tyre_load_index,tyre_speed_index,tyre_tread,tyre_tt_tl,provider,rim_width,rim_diameter,rim_offset,rim_color,rim_load_index,rim_speed_index
8714692810398,100004352,VREDESTEIN,Reifen,09.csv,235,35,R,19,,,QUATRAC PRO+ XLFSL 3PMSF,,09,,,,,,
8714692810404,100004503,VREDESTEIN,Reifen,09.csv,225,35,R,19,,,QUATRAC PRO+ XLFSL 3PMSF,,09,,,,,,
8714692810411,100004419,VREDESTEIN,Reifen,09.csv,255,40,R,19,,,QUATRAC PRO+ XLFSL 3PMSF,,09,,,,,,
8714692810428,100004367,VREDESTEIN,Reifen,09.csv,245,40,R,19,,,QUATRAC PRO+ XLFSL 3PMSF,,09,,,,,,
8714692810435,100004405,VREDESTEIN,Reifen,09.csv,235,40,R,19,,,QUATRAC PRO+ XLFSL 3PMSF,,09,,,,,,
8714692810442,100004501,VREDESTEIN,Reifen,09.csv,225,40,R,19,,,QUATRAC PRO+ XLFSL 3PMSF,,09,,,,,,
8714692810466,100004369,VREDESTEIN,Reifen,09.csv,245,45,R,19,,,QUATRAC PRO+ XLFSL 3PMSF,,09,,,,,,
8714692810480,100004393,VREDESTEIN,Reifen,09.csv,225,45,R,19,,,QUATRAC PRO+ XLFSL 3PMSF,,09,,,,,,
8714692810503,100004453,VREDESTEIN,Reifen,09.csv,255,50,R,19,,,QUATRAC PRO+ XLFSL 3PMSF,,09,,,,,,
8714692810510,100004420,VREDESTEIN,Reifen,09.csv,245,50,R,19,,,QUATRAC PRO+ XLFSL 3PMSF,,09,,,,,,
8714692810527,100004421,VREDESTEIN,Reifen,09.csv,235,50,R,19,,,QUATRAC PRO+ XLFSL 3PMSF,,09,,,,,,
8714692810558,100004422,VREDESTEIN,Reifen,09.csv,235,55,R,19,,,QUATRAC PRO+ XLFSL 3PMSF,,09,,,,,,
8714692810572,100004457,VREDESTEIN,Reifen,09.csv,205,55,R,19,,,QUATRAC PRO+ XLFSL 3PMSF,,09,,,,,,
8714692810589,100004458,VREDESTEIN,Reifen,09.csv,255,35,R,18,,,QUATRAC PRO+ XLFSL 3PMSF,,09,,,,,,
